Accession	Name	Description	Source Database
IPR022406	Diphtheria toxin, catalytic domain	"This entry represents the N-terminal catalytic domain (also known as the C domain). This domain has an unusual β+α fold [[cite:PUB00037609]]. The C domain blocks protein synthesis by transfer of ADP-ribose from NAD to a diphthamide residue of EF-2 [[cite:PUB00005016], [cite:PUB00000429]]. Diphtheria toxin ([ec:2.4.2.36]) is a 58kDa protein secreted by lysogenic strains of Corynebacterium diphtheriae. The toxin causes the disease diphtheria in humans by gaining entry into the cell cytoplasm and inhibiting protein synthesis [[cite:PUB00000429]]. The mechanism of inhibition involves transfer of the ADP-ribose group of NAD to elongation factor-2 (EF-2), rendering EF-2 inactive. The catalysed reaction is as follows:


&lt;reaction&gt;
NAD&lt;sup&gt;+&lt;/sup&gt; + peptide diphthamide = nicotinamide + peptide N-(ADP-D-ribosyl)diphthamide
&lt;/reaction&gt;


The crystal structure of the diphtheria toxin homodimer has been determined to 2.5A resolution [[cite:PUB00004122]]. The structure reveals a Y-shaped molecule of 3 domains, a catalytic domain (fragment A), whose fold is of the α+β type; a transmembrane (TM) domain, which consists of 9 α-helices, 2 pairs of which may participate in pH-triggered membrane insertion and translocation; and a receptor-binding domain, which forms a flattened β-barrel with a jelly-roll-like topology [[cite:PUB00004122]]. The TM- and receptor binding-domains together constitute fragment B."	INTERPRO
PF03367	ZPR1 zinc-finger domain	This entry represents the zinc-ribbon domain found in ZPR1 family. The zinc-finger protein ZPR1 is ubiquitous among eukaryotes. It is indeed known to be an essential protein in yeast. In quiescent cells, ZPR1 is localised to the cytoplasm. But in proliferating cells treated with EGF or with other mitogens, ZPR1 accumulates in the nucleolus. ZPR1 interacts with the cytoplasmic domain of the inactive EGF receptor (EGFR) and is thought to inhibit the basal protein tyrosine kinase activity of EGFR. This interaction is disrupted when cells are treated with EGF, though by themselves, inactive EGFRs are not sufficient to sequester ZPR1 to the cytoplasm [[cite:PUB00020594],[cite:PUB00020595],[cite:PUB00017397]]. Upon stimulation by EGF, ZPR1 directly binds the eukaryotic translation elongation factor-1alpha (eEF-1alpha) to form ZPR1/eEF-1alpha complexes [[cite:PUB00020594]]. These move into the nucleus, localising particularly at the nucleolus. Indeed, the interaction between ZPR1 and eEF-1alpha has been shown to be essential for normal cellular proliferation [[cite:PUB00020594]], and ZPR1 is thought to be involved in pre-ribosomal RNA expression [[cite:PUB00020595]]. ZPR1 binds preferentially to GDP-bound eEF1A but does not directly influence the kinetics of nucleotide exchange or GTP hydrolysis [[cite:PUB00045181]]. The alignment for the ZPR1 family shows a duplicated set composed of a zinc-ribbon domain (this entry) followed by a jelly-roll domain. This family also includes several hypothetical archaeal proteins (from both Crenarchaeota and Euryarchaeota). This similarity between ZPR1 and archaeal proteins was not previously noted.	PFAM
cd20489	hydroxypropylphosphonic acid epoxidase (HppE) and similar proteins, C-terminal cupin domain	"This family includes HppE (hydroxypropylphosphonic acid epoxidase or HPP epoxidase or 2-hydroxypropylphosphonic acid epoxidase; EC 1.11.1.23), a non-heme mononuclear iron-dependent enzyme that catalyzes a unique epoxidation reaction as part of the biosynthetic pathway of the clinically important oxirane antibiotic fosfomycin. HppE uses a facial triad with two histidine ligands and one aspartic acid or glutamic acid, His2(Glu/Asp), to catalyze a variety of different reactions, including DNA repair and antibiotic biosynthesis. The C-terminal catalytic domain of HppE has a cupin fold that binds a divalent cation, whereas the N-terminal domain carries a helix-turn-helix (HTH) motif with putative DNA-binding helices. HppE converts (S)-2-hydroxypropyl-1-phosphonate (S-HPP) to the antibiotic fosfomycin [(1R,2S)-epoxypropylphosphonate] in an unusual 1,3-dehydrogenation of a secondary alcohol to an epoxide; it uses H2O2 as a co-substrate to abstract hydrogen (Ho) from C1 of S-HPP to initiate epoxide ring closure, using an iron(IV)-oxo complex as the Ho abstractor. HppE belongs to the cupin superfamily with a conserved ""jelly roll-like"" beta-barrel fold capable of homodimerization and its structure serves as a model for numerous proteins of unknown function, predicted to be transcription factors, containing an HTH motif at the N-terminus and a cupin domain at the C-terminus. [[cite:PUB00149778], [cite:PUB00067257], [cite:PUB00149779], [cite:PUB00149780], [cite:PUB00149781], [cite:PUB00149782], [cite:PUB00059105], [cite:PUB00039079], [cite:PUB00149783], [cite:PUB00149784], [cite:PUB00039692], [cite:PUB00149785], [cite:PUB00149786], [cite:PUB00149787], [cite:PUB00149788]]"	CDD
IPR011043	Galactose oxidase/kelch, beta-propeller	"This entry represents a β-propeller domain found in galactose oxidase and in Kelch repeat-containing proteins.

The known functions of kelch-containing proteins are diverse: scruin is an actin cross-linking protein; galactose oxidase catalyses the oxidation of the hydroxyl group at the C6 position in D-galactose; neuraminidase hydrolyses sialic acid residues from glycoproteins; and kelch may have a cytoskeletal function, as it is localised to the actin-rich ring canals that connect the 15 nurse cells to the developing oocyte in Drosophila [[cite:PUB00003094]]. Nevertheless, based on the location of the kelch pattern in the catalytic unit in galactose oxidase, functionally important residues have been predicted in glyoxal oxidase [[cite:PUB00003318]].



Galactose oxidase ([ec:1.1.3.9]) is a monomeric enzyme that contains a single copper ion and catalyses the stereospecific oxidation of primary alcohols to their corresponding aldehyde [[cite:PUB00014151]]. The protein contains an unusual covalent thioether bond between a tyrosine and a cysteine that forms during its maturation [[cite:PUB00014152]]. Galactose oxidase is a three-domain protein: the N-terminal domain forms a jelly-roll sandwich, the central domain forms a seven 4-bladed β-propeller, and the C-terminal domain has an immunoglobulin-like fold."	INTERPRO
IPR022404	Diphtheria toxin, receptor-binding domain	"This entry represents the C-terminal receptor-binding domain, also known as the R domain. This domain has a β-sandwich fold consisting of nine strands in two sheet with greek-key topology; it is a subclass of immunoglobin-like fold [[cite:PUB00037609]]. The R domain binds to cell surface receptor, permitting the toxin to enter the cell by receptor mediated endocytosis [[cite:PUB00005016], [cite:PUB00000429]]. Diphtheria toxin ([ec:2.4.2.36]) is a 58kDa protein secreted by lysogenic strains of Corynebacterium diphtheriae. The toxin causes the disease diphtheria in humans by gaining entry into the cell cytoplasm and inhibiting protein synthesis [[cite:PUB00000429]]. The mechanism of inhibition involves transfer of the ADP-ribose group of NAD to elongation factor-2 (EF-2), rendering EF-2 inactive. The catalysed reaction is as follows:


&lt;reaction&gt;
NAD&lt;sup&gt;+&lt;/sup&gt; + peptide diphthamide = nicotinamide + peptide N-(ADP-D-ribosyl)diphthamide
&lt;/reaction&gt;


The crystal structure of the diphtheria toxin homodimer has been determined to 2.5A resolution [[cite:PUB00004122]]. The structure reveals a Y-shaped molecule of 3 domains, a catalytic domain (fragment A), whose fold is of the α+β type; a transmembrane (TM) domain, which consists of 9 α-helices, 2 pairs of which may participate in pH-triggered membrane insertion and translocation; and a receptor-binding domain, which forms a flattened β-barrel with a jelly-roll-like topology [[cite:PUB00004122]]. The TM- and receptor binding-domains together constitute fragment B."	INTERPRO
IPR016031	Tryptophan RNA-binding attenuator protein-like domain superfamily	The tryptophan RNA-binding attenuation protein (TRAP) regulates expression of the tryptophan biosynthetic genes in Bacillus sp. by binding to the leader region of the nascent trp operon mRNA [[cite:PUB00025371]]. The crystal structure of the Trp RNA-binding attenuation protein of Bacillus subtilis (mtrB, [swissprot:P19466]) has been solved [[cite:PUB00004208]]. TRAP forms an oligomeric ring consisting of 11 single-domain subunits, where each subunit adopts a double-stranded β-helix structure with the appearance of a β-sandwich of distinct architecture and jelly-roll fold. The 11 subunits are stabilised by 11 inter-subunit strands, forming a β-wheel with a large central hole. TRAP is activated by binding to tryptophan in clefts between adjacent β-strands, which induces conformational changes in the protein. Activated TRAP binds an mRNA target sequence consisting of 11 (G/U)AG repeats, separated by 2-3 spacer nucleotides. The spacer nucleotides do not make direct contact with the TRAP protein, but they do influence the conformation of the RNA, which might influence the specificity of TRAP [[cite:PUB00022801]]. This superfamily represents a domain with a TRAP-like double-stranded β-helix topology. This domain is found in TRAP proteins, as well as in the hypothetical protein SPyM3_0169 from Streptococcus pyogenes. SPyM3_0169 contains 9 domains per ring-like trimer, where each subunit contains three structural repeats.	INTERPRO
PS51172	CBM3 (carbohydrate binding type-3) domain profile	"Carbohydrate-binding modules (CBM) have been classified into more than 40
families according to sequence homology [E1]. Several cellulolytic enzymes
share a conserved region of about 150 amino acid residues, the CBM3 domain
[[cite:PUB00001730]]. It has been classified in three different subtypes, termed family IIIa,
IIIb and IIIc. The family IIIa (scaffoldin) and IIIb (mainly free enzymes) are
closely similar in their primary structures and both types bind strongly to
crystalline cellulose [[cite:PUB00001296]][[cite:PUB00025133]]. Members of the family IIIc, fails to bind
crystalline cellulose, but serves in a 'helper' capacity by feeding a single
incoming cellulose chain into the active site of the neighbouring catalytic
module pending hydrolysis [[cite:PUB00033741]][[cite:PUB00033742]].

The CBM3 domain is mainly found C-terminal to the catalytic domain, which
correspond to a wide range of bacterial glycosyl hydrolases like family 9, family 5 and family 10.

The crystal structure of CBM3 has been solved [[cite:PUB00001296]]. It
consists of nine beta-strands which form a compact domain that has an overall
prismatic shape. It is arranged in two antiparallel beta-sheets that stack
face-to-face to form a beta sandwich with jelly roll topology. Two defined
surfaces, located on opposite sides of the molecule, contain conserved polar
and aromatic residues which are probably involved in the binding of the CBM to
cellulose [[cite:PUB00001296]][[cite:PUB00025133]]. The first one forms a planar strip whereas the second one
forms a shallow groove.

Some proteins known to contain a CBM3 domain are listed below:

 - Clostridial  cellulosomal  scaffolding  proteins  cipA, cipC and cbpA. They
   promote the   binding   of  cellulose  to  the  catalytic  domains  of  the
   cellulolytic enzymes.
 - Bacterial   cellulases   A, B, F, G, I, N, Y, Z   (Endo-1,4-beta-glucanase)
   (EC 3.2.1.4).

The profile we developed covers the whole CBM3 domain."	PROFILE
IPR000386	Haemagglutinin, influenzavirus B	"Haemagglutinin (HA) is one of two main surface fusion glycoproteins embedded in the envelope of influenza viruses, the other being neuraminidase (NA). There are sixteen known HA subtypes (H1-H16) and nine NA subtypes (N1-N9), which together are used to classify influenza viruses (e.g. H5N1). The antigenic variations in HA and NA enable the virus to evade host antibodies made to previous influenza strains, accounting for recurrent influenza epidemics [[cite:PUB00033165]]. The HA glycoprotein is present in the viral membrane as a single polypeptide (HA0), which must be cleaved by the host's trypsin-like proteases to produce two peptides (HA1 and HA2) in order for the virus to be infectious. Once HA0 is cleaved, the newly exposed N-terminal of the HA2 peptide then acts to fuse the viral envelope to the cellular membrane of the host cell, which allows the viral negative-stranded RNA to infect the host cell. The type of host protease can influence the infectivity and pathogenicity of the virus.

The haemagglutinin glycoprotein is a trimer containing three structurally distinct regions: a globular head consisting of anti-parallel β-sheets that form a β-sandwich with a jelly-roll fold (contains the receptor binding site and the HA1/HA2 cleavage site); a triple-stranded, coiled-coil, α-helical stalk; and a globular foot composed of anti-parallel β-sheets [[cite:PUB00033162], [cite:PUB00033164]]. Each monomer consists of an intact HA0 polypeptide with the HA1 and HA2 regions linked by disulphide bonds. The N terminus of HA1 provides the central strand in the 5-stranded globular foot, while the rest of the HA1 chain makes its way to the 8-stranded globular head.  HA2 provides two α helices, which form part of the triple-stranded coiled-coil that stabilises the trimer, its C terminus providing the remaining strands of the 5-stranded globular foot. This entry represents haemagglutinin found in influenza virus B."	INTERPRO
IPR036799	Diphtheria toxin, receptor-binding domain superfamily	"This entry represents the C-terminal receptor-binding domain (also known as the R domain) of Diphtheria toxin. This domain has a β-sandwich fold consisting of nine strands in two sheet with greek-key topology; it is a subclass of immunoglobin-like fold [[cite:PUB00037609]]. The R domain binds to cell surface receptor, permitting the toxin to enter the cell by receptor mediated endocytosis [[cite:PUB00005016], [cite:PUB00000429]]. Diphtheria toxin ([ec:2.4.2.36]) is a 58kDa protein secreted by lysogenic strains of Corynebacterium diphtheriae. The toxin causes the disease diphtheria in humans by gaining entry into the cell cytoplasm and inhibiting protein synthesis [[cite:PUB00000429]]. The mechanism of inhibition involves transfer of the ADP-ribose group of NAD to elongation factor-2 (EF-2), rendering EF-2 inactive. The catalysed reaction is as follows:


&lt;reaction&gt;
NAD&lt;sup&gt;+&lt;/sup&gt; + peptide diphthamide = nicotinamide + peptide N-(ADP-D-ribosyl)diphthamide
&lt;/reaction&gt;


The crystal structure of the diphtheria toxin homodimer has been determined to 2.5A resolution [[cite:PUB00004122]]. The structure reveals a Y-shaped molecule of 3 domains, a catalytic domain (fragment A), whose fold is of the α+β type; a transmembrane (TM) domain, which consists of 9 α-helices, 2 pairs of which may participate in pH-triggered membrane insertion and translocation; and a receptor-binding domain, which forms a flattened β-barrel with a jelly-roll-like topology [[cite:PUB00004122]]. The TM- and receptor binding-domains together constitute fragment B."	INTERPRO
PS01286	Coagulation factors 5/8 type C domain (FA58C) signature 2	"Blood coagulation factors V and VIII contain a C-terminal, twice repeated,
domain of about 150 amino acids, which is called F5/8 type C, FA58C, or C1/C2-
like domain. A distant sequence similarity has been noted between the C1 /C2
domains of Factors V and VIII and the discoidin proteins, which comprise a
family of phospholipid-binding lectins and other proteins involved in adhesive
interactions [[cite:PUB00005054]].

In coagulation factors V and VIII the repeated domains compose part of a
larger functional domain which promotes binding to anionic phospholipids on
the surface of platelets and endothelial cells [[cite:PUB00000770]]. The C-terminal domain of
the second FA58C repeat (C2) of coagulation factor VIII has been shown to be
responsible for phosphatidylserine-binding and essential for activity [[cite:PUB00000771]][[cite:PUB00002850]].

The crystal structure of the FA58C domain has been solved [5]. It exhibits a distorted jelly-roll beta-barrel motif, consisting
of eight antiparallel strands arranged in two beta-sheets. The lower part of
the beta-barrel is characterized by a preponderance of basic residues and
three adjacent protruding loops that play a key role in lipid binding. The
galactose binding domain of fungal galactose oxidase exhibits structural
similarity to FA58C. The three adjacent loops are conserved and localized in a
region which has been predicted to anchor the enzyme to plant cell walls. This
may indicate a common binding role for the loop region.

Similar domains have been detected in other extracellular and membrane
proteins [[cite:PUB00004623]][[cite:PUB00004819]][[cite:PUB00001120]] which are listed below:

 - Mammalian  milk fat globule-EGF factor 8 (MFGM), which is expressed in milk
   and sperm.  It  is probably involved in phospholipid-binding. It contains 2
   EGF-like repeats followed by 2 copies of FA58C.
 - Neuropilin  (A5 antigen), a calcium-independent cell adhesion molecule that
   function during  the  formation  of certain neuronal circuits. The sequence
   contains 2   CUB domains.
 - Silk  moth hemocytin, an humoral lectin which is involved in a self-defence
   mechanism. It  is  composed of 2 FA58C domains, a C-type lectin domain, 2 VWFC domains and a CTCK.
 - Human  AEBP1,  a  transcriptional repressor  with carboxypeptidase activity
   that is  probably  involved  in  the  regulation  of the differentiation of
   osteoblasts. AEBP1  contains a single copy of FA58C. Mouse AEBP1 is shorter
   in its N-terminal and lacks part of the FA58C domain.
 - Bovine  Sco-spondin,  which  is  secreted  by  the  subcommissural organ in
   embryos and  is  involved  in  the  modulation  of neuronal aggregation. It
   contains at least 2 EGF-like domains, one FA58C, and 3 LDLRA domains.
 - Drosophila  neurexin  IV  which is required for septate junction and blood-
   nerve barrier  formation  and function. In comparision to neurexins I-alpha
   and III-alpha, which are composed of 6 LamG domains and 3 EGF-like repeats,
   the N-terminal LamG has been substituted by a FA58C domain in neurexin IV.
 - Mammalian  contactin  associated  proteins (CASPR), which are implicated in
   protein-protein interactions.
 - Mammalian  tyrosine-protein  kinase  receptors EDDR1 (CAK, DDR1, TRKE, etc)
   and NTRK3 (TKT or TYRO10) which all contain one copy of the FA58C domain.
 - Caenorhabditis  elegans  putative tyrosine-protein kinases G01D9.2, F11D5.3
   and C25F6.4.

FA58C contains two conserved cysteines in most proteins, which link the
extremities of the domain by a disulfide bond [[cite:PUB00000383]]. A further disulfide
bond is located near the C-terminal of the second FA58C domain in MFGM [11].

  +------------------------------------------------------------------------+
  |                                                               +-+      |
  |                                                               | |      |
  CxPLGxxQITASxxxxxRLxxxWxxxxWxxxxxxQGxxxxxxxxxxxxGNxxxxxxxxxxRxPxcxcLRxExGC
                        **************                          ************

 'C': conserved cysteine involved in a disulfide bond.
 'c': cysteine involved in a disulfide bond in MFGM.
 'x': any amino acid.
 '*': position of the patterns.
 Upper case letters: conserved residues.

We have developed two patterns for FA58C. The first is located in the middle
of the domain and the second covers the C-terminal extremity. We also
developed a profile that spans the whole domain. The profile also recognizes
fungal galactose oxidase and some bacterial hyaluronidase and sialidase, three
protein families that contain a conserved region related to the FA58C domain
[[cite:PUB00005054]]."	PROSITE
PS01285	Coagulation factors 5/8 type C domain (FA58C) signature 1	"Blood coagulation factors V and VIII contain a C-terminal, twice repeated,
domain of about 150 amino acids, which is called F5/8 type C, FA58C, or C1/C2-
like domain. A distant sequence similarity has been noted between the C1 /C2
domains of Factors V and VIII and the discoidin proteins, which comprise a
family of phospholipid-binding lectins and other proteins involved in adhesive
interactions [[cite:PUB00005054]].

In coagulation factors V and VIII the repeated domains compose part of a
larger functional domain which promotes binding to anionic phospholipids on
the surface of platelets and endothelial cells [[cite:PUB00000770]]. The C-terminal domain of
the second FA58C repeat (C2) of coagulation factor VIII has been shown to be
responsible for phosphatidylserine-binding and essential for activity [[cite:PUB00000771]][[cite:PUB00002850]].

The crystal structure of the FA58C domain has been solved [5]. It exhibits a distorted jelly-roll beta-barrel motif, consisting
of eight antiparallel strands arranged in two beta-sheets. The lower part of
the beta-barrel is characterized by a preponderance of basic residues and
three adjacent protruding loops that play a key role in lipid binding. The
galactose binding domain of fungal galactose oxidase exhibits structural
similarity to FA58C. The three adjacent loops are conserved and localized in a
region which has been predicted to anchor the enzyme to plant cell walls. This
may indicate a common binding role for the loop region.

Similar domains have been detected in other extracellular and membrane
proteins [[cite:PUB00004623]][[cite:PUB00004819]][[cite:PUB00001120]] which are listed below:

 - Mammalian  milk fat globule-EGF factor 8 (MFGM), which is expressed in milk
   and sperm.  It  is probably involved in phospholipid-binding. It contains 2
   EGF-like repeats followed by 2 copies of FA58C.
 - Neuropilin  (A5 antigen), a calcium-independent cell adhesion molecule that
   function during  the  formation  of certain neuronal circuits. The sequence
   contains 2   CUB domains.
 - Silk  moth hemocytin, an humoral lectin which is involved in a self-defence
   mechanism. It  is  composed of 2 FA58C domains, a C-type lectin domain, 2 VWFC domains and a CTCK.
 - Human  AEBP1,  a  transcriptional repressor  with carboxypeptidase activity
   that is  probably  involved  in  the  regulation  of the differentiation of
   osteoblasts. AEBP1  contains a single copy of FA58C. Mouse AEBP1 is shorter
   in its N-terminal and lacks part of the FA58C domain.
 - Bovine  Sco-spondin,  which  is  secreted  by  the  subcommissural organ in
   embryos and  is  involved  in  the  modulation  of neuronal aggregation. It
   contains at least 2 EGF-like domains, one FA58C, and 3 LDLRA domains.
 - Drosophila  neurexin  IV  which is required for septate junction and blood-
   nerve barrier  formation  and function. In comparision to neurexins I-alpha
   and III-alpha, which are composed of 6 LamG domains and 3 EGF-like repeats,
   the N-terminal LamG has been substituted by a FA58C domain in neurexin IV.
 - Mammalian  contactin  associated  proteins (CASPR), which are implicated in
   protein-protein interactions.
 - Mammalian  tyrosine-protein  kinase  receptors EDDR1 (CAK, DDR1, TRKE, etc)
   and NTRK3 (TKT or TYRO10) which all contain one copy of the FA58C domain.
 - Caenorhabditis  elegans  putative tyrosine-protein kinases G01D9.2, F11D5.3
   and C25F6.4.

FA58C contains two conserved cysteines in most proteins, which link the
extremities of the domain by a disulfide bond [[cite:PUB00000383]]. A further disulfide
bond is located near the C-terminal of the second FA58C domain in MFGM [11].

  +------------------------------------------------------------------------+
  |                                                               +-+      |
  |                                                               | |      |
  CxPLGxxQITASxxxxxRLxxxWxxxxWxxxxxxQGxxxxxxxxxxxxGNxxxxxxxxxxRxPxcxcLRxExGC
                        **************                          ************

 'C': conserved cysteine involved in a disulfide bond.
 'c': cysteine involved in a disulfide bond in MFGM.
 'x': any amino acid.
 '*': position of the patterns.
 Upper case letters: conserved residues.

We have developed two patterns for FA58C. The first is located in the middle
of the domain and the second covers the C-terminal extremity. We also
developed a profile that spans the whole domain. The profile also recognizes
fungal galactose oxidase and some bacterial hyaluronidase and sialidase, three
protein families that contain a conserved region related to the FA58C domain
[[cite:PUB00005054]]."	PROSITE
PS51762	Glycosyl hydrolases family 16 (GH16) domain profile	"The glycosyl hydrolases family 16 (GH16) [[cite:PUB00000503]] contains functionally
heterogeneous members, including beta-agarases, endo-1,3-beta-glucanases
(laminarinases), endo-beta-1,3-1,4-glucanases (lichenases), kappa-
carrageenases, endo-beta-galactosidases and xyloglucan endotransferases. These
enzymes share a common ancestor and have diverged significantly in their
primary sequence.

The GH16 catalytic domain has a classical sandwich-like beta-jelly roll fold,
formed by two main, closely packed and curved antiparallel beta sheets,
creating a deep channel harboring the catalytic machinery.
Even though the GH16 domains have now diverged significantly in their primary
sequences, they all feature a common catalytic motif, E-[ILV]-D-[IVAF]-
[VILMF](0,1)-E. The two glutamic acid residues in the conserved motif are the
nucleophile and the general base involved in catalysis, whereas the aspartic
acid residue is important in maintaining the relative position of these
catalytic amino acids [[cite:PUB00029321]][[cite:PUB00010686]].

Some proteins known to contain a GH16 domain are listed below:

 - Bacterial beta-1,3-1,4-glucanases, or lichenases, (EC 3.2.1.73) mainly from
   Bacillus but  also  from  Clostridium thermocellum (gene licB), Fibrobacter
   succinogenes and Rhodothermus marinus (gene bglA).
 - Bacillus circulans beta-1,3-glucanase A1 (EC 3.2.1.39) (gene glcA).
 - Alteromonas carrageenovora kappa-carrageenase (EC 3.2.1.83) (gene cgkA).
 - Rhizobium meliloti endo-1,3-1,4-beta-glycanase exoK.
 - Streptomyces coelicolor agarase (EC 3.2.1.81) (gene dagA).
 - Zobellia galactanivorans beta-agarase A (EC 3.2.1.81) (gene agaA).
 - Zobellia galactanivorans beta-agarase B (EC 3.2.1.81) (gene agaB).
 - Saccharophagus sp. AG21 beta-agarase (gene agy1), includes a GH16 domain
   and two CBM6 (carbohydrate binding type-6) domain.
 - Microbulbifer thermotolerans agarase (agaA).
 - Thermotoga maritima laminarinase.
 - Saccharomyces cerevisiae beta-glucan synthesis-associated protein SKN1 [[cite:PUB00016652]].
 - Saccharomyces cerevisiae beta-glucan synthesis-associated protein KRE6 [[cite:PUB00016652]].

Two closely clustered conserved glutamates have been shown [[cite:PUB00002845]] to be involved
in the catalytic activity of Bacillus licheniformis lichenase. We used the
region that contains these residues as a signature pattern. We have also
developed a profile that covers the entire GH16 domain."	PROFILE
IPR036801	Diphtheria toxin, translocation domain superfamily	"Diphtheria toxin ([ec:2.4.2.36]) is a 58kDa protein secreted by lysogenic strains of Corynebacterium diphtheriae. The toxin causes the disease diphtheria in humans by gaining entry into the cell cytoplasm and inhibiting protein synthesis [[cite:PUB00000429]]. The mechanism of inhibition involves transfer of the ADP-ribose group of NAD to elongation factor-2 (EF-2), rendering EF-2 inactive. The catalysed reaction is as follows:


&lt;reaction&gt;
NAD&lt;sup&gt;+&lt;/sup&gt; + peptide diphthamide = nicotinamide + peptide N-(ADP-D-ribosyl)diphthamide
&lt;/reaction&gt;


The crystal structure of the diphtheria toxin homodimer has been determined to 2.5A resolution [[cite:PUB00004122]]. The structure reveals a Y-shaped molecule of 3 domains, a catalytic domain (fragment A), whose fold is of the α+β type; a transmembrane (TM) domain, which consists of 9 α-helices, 2 pairs of which may participate in pH-triggered membrane insertion and translocation; and a receptor-binding domain, which forms a flattened β-barrel with a jelly-roll-like topology [[cite:PUB00004122]]. The TM- and receptor binding-domains together constitute fragment B. This entry represents the translocation domain (also known as the T domain) found in the middle of the Diphtheria toxin protein. The T domain has a multi-helical globin-like fold with two additional helices at N-termini, but which has no counterpart to the first globin helix. This domain is thought to unfold in the membrane [[cite:PUB00036573]]. pH-induced conformational change in the T domain triggers insertion into the endosomal membrane and facilitates the transfer of the catalytic domain into the cytoplasm [[cite:PUB00005016], [cite:PUB00000429]]."	INTERPRO
IPR001364	Haemagglutinin, influenzavirus A/B	"Haemagglutinin (HA) is one of two main surface fusion glycoproteins embedded in the envelope of influenza viruses, the other being neuraminidase (NA). There are sixteen known HA subtypes (H1-H16) and nine NA subtypes (N1-N9), which together are used to classify influenza viruses (e.g. H5N1). The antigenic variations in HA and NA enable the virus to evade host antibodies made to previous influenza strains, accounting for recurrent influenza epidemics [[cite:PUB00033165]]. The HA glycoprotein is present in the viral membrane as a single polypeptide (HA0), which must be cleaved by the host's trypsin-like proteases to produce two peptides (HA1 and HA2) in order for the virus to be infectious. Once HA0 is cleaved, the newly exposed N-terminal of the HA2 peptide then acts to fuse the viral envelope to the cellular membrane of the host cell, which allows the viral negative-stranded RNA to infect the host cell. The type of host protease can influence the infectivity and pathogenicity of the virus.

The haemagglutinin glycoprotein is a trimer containing three structurally distinct regions: a globular head consisting of anti-parallel β-sheets that form a β-sandwich with a jelly-roll fold (contains the receptor binding site and the HA1/HA2 cleavage site); a triple-stranded, coiled-coil, α-helical stalk; and a globular foot composed of anti-parallel β-sheets [[cite:PUB00033162], [cite:PUB00033164]]. Each monomer consists of an intact HA0 polypeptide with the HA1 and HA2 regions linked by disulphide bonds. The N terminus of HA1 provides the central strand in the 5-stranded globular foot, while the rest of the HA1 chain makes its way to the 8-stranded globular head.  HA2 provides two α helices, which form part of the triple-stranded coiled-coil that stabilises the trimer, its C terminus providing the remaining strands of the 5-stranded globular foot. This entry represents the entire haemagglutinin protein (HA0) consisting of both the HA1 and HA2 regions, as found in influenza A and B viruses."	INTERPRO
IPR001956	Carbohydrate-binding module 3	"Carbohydrate-binding modules (CBM) have been classified into more than 40 families according to sequence homology. Several cellulolytic enzymes share a conserved region of about 150 amino acid residues, the CBM3 domain [[cite:PUB00001730]]. It has been classified in three different subtypes, termed family IIIa, IIIb and IIIc. The family IIIa (scaffoldin) and IIIb (mainly free enzymes) are closely similar in their primary structures and both types bind strongly to crystalline cellulose [[cite:PUB00001296], [cite:PUB00025133]]. Members of the family IIIc, fail to bind crystalline cellulose, but serve in a 'helper' capacity by feeding a single incoming cellulose chain into the active site of the neighbouring catalytic module pending hydrolysis [[cite:PUB00033741], [cite:PUB00033742]].

The CBM3 domain is mainly found C-terminal to the catalytic domain, which correspond to a wide range of bacterial glycosyl hydrolases like family 9, family 5 and family 10.

The crystal structure of CBM3 has been solved [[cite:PUB00001296]]. It consists of nine β-strands which form a compact domain that has an overall prismatic shape. It is arranged in two antiparallel β-sheets that stack face-to-face to form a β sandwich with jelly roll topology. Two defined surfaces, located on opposite sides of the molecule, contain conserved polar and aromatic residues which are probably involved in the binding of the CBM to cellulose [[cite:PUB00001296], [cite:PUB00025133]]. The first one forms a planar strip whereas the second one forms a shallow groove.

Some proteins known to contain a CBM3 domain are listed below:



Clostridial cellulosomal scaffolding proteins cipA, cipC and cbpA. They promote the binding of cellulose to the catalytic domains of the cellulolytic enzymes.
Bacterial cellulases A, B, F, G, I, N, Y, Z (Endo-1,4-beta-glucanase, [ec:3.2.1.4]).


This entry represents the CBM3 domain, which is also known as cellulose-binding domain family III (CBD III)."	INTERPRO
